Label,SMS
spam,HOT! Cơ hội đầu tư BĐS sinh lời 200%. Chỉ còn 10 lô cuối. LH: 0901234567
ham,Nhớ mang theo áo khoác khi ra ngoài nhé, trời lạnh lắm!
spam,Thông báo: SIM của bạn sắp bị khóa 2 chiều. Cập nhật thông tin: sim-verify-fake.com
ham,Anh ơi, em để quên điện thoại ở nhà. Anh mang giúp em được không?
spam,Chương trình tặng xe Honda SH cho 5 khách hàng may mắn. Chi tiết: moto-lucky-fake.com
ham,Mai thi môn gì vậy? Cho mình mượn sách ôn thi với!
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch bất thường. Kiểm tra: bank-warning-fake.com
ham,Chị ơi, em xin phép về sớm hôm nay. Em có việc gấp.
spam,HOT! Cơ hội việc làm thu nhập 50-100tr/tháng. Ứng tuyển: job-best-fake.com
ham,Tối nay ăn gì? Mình đi chợ mua đồ nhé!
spam,Thông báo: Facebook của bạn đang có nguy cơ bị khóa. Xác minh: fb-security-fake.com
ham,Nhớ đón con lúc 5h chiều nhé! Con đang đợi ở trường.
spam,Chúc mừng! Bạn đã trúng 100 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,Bài tập về nhà nộp vào ngày mai đúng không?
spam,Cảnh báo: Tài khoản Momo của bạn có giao dịch lạ. Kiểm tra: momo-alert-fake.com
ham,Anh/chị có thể duyệt báo cáo giúp em hôm nay được không?
spam,HOT! Cơ hội mua đất nền giá gốc chỉ 300tr/nền. LH: 0987654321
ham,Mẹ ơi, con đã đặt vé máy bay về quê rồi!
spam,Thông báo: Bạn còn nợ cước 1.500.000đ. Thanh toán để tránh bị khóa sim.
ham,Chị ơi, em có thể nộp báo cáo vào ngày mai được không?
spam,Chúc mừng! Bạn đã được chọn nhận iPhone 15 miễn phí. Đăng ký: iphone-free-fake.com
ham,Anh ơi, em đã đặt bàn ở nhà hàng ABC lúc 7h tối nay rồi nhé!
spam,KHẨN: Tài khoản di động của bạn sắp bị khóa. Xác minh ngay: mobile-secure-fake.com
ham,Tài liệu họp đã được gửi qua email. Anh/chị kiểm tra nhé!
spam,Bạn đã trúng thưởng 50 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx để nhận giải.
ham,Mai có bài kiểm tra đó! Bạn chuẩn bị đầy đủ chưa?
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch bất thường. Kiểm tra: bank-alert-fake.com
ham,Tối nay mình có hẹn với bác sĩ. Bạn đón con giúp mình nhé!
spam,Chương trình tặng xe máy Honda Vision cho 10 khách hàng may mắn. Chi tiết: moto-gift-fake.com
ham,Chị ơi, em gửi file báo cáo rồi. Chị kiểm tra giúp em nhé!
spam,HOT! Cơ hội đầu tư sinh lời 100%/năm. LH: 0901234567 để được tư vấn.
ham,Bố mẹ khỏe không? Con đã đến nơi an toàn rồi ạ!
spam,Thông báo: SIM của bạn sẽ bị khóa trong 24h nếu không cập nhật thông tin. Chi tiết: sim-lock-fake.com
ham,Anh ơi, tối nay em về muộn. Anh nhớ cho con ăn tối nhé!
spam,Chúc mừng! Bạn đã trúng 100 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,Bạn có thể gửi lại link họp Zoom được không? Mình không tìm thấy.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị khóa. Xác minh tại: bank-secure-fake.com
ham,Chị ơi, mai em có thể nộp báo cáo trễ một ngày được không?
spam,HOT! Cơ hội mua nhà giá rẻ chỉ 500tr/căn. LH: 0987654321
ham,Mình đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Bạn nhớ đến đúng giờ nhé!
spam,Thông báo: Bạn còn nợ tiền điện 2.000.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,Anh ơi, em quên mang theo chìa khóa. Em sẽ đợi anh ở công ty.
spam,Cơ hội việc làm thu nhập 40-80tr/tháng. Ứng tuyển: job-fake.com
ham,Chị ơi, em đã hoàn thành công việc rồi. Chị kiểm tra giúp em nhé!
spam,KHẨN CẤP: Tài khoản Zalo của bạn đang gặp vấn đề bảo mật. Xác minh: zalo-secure-fake.com
ham,Tối nay có buổi liên hoan công ty lúc 6h. Bạn tham gia nhé!
spam,Chúc mừng! Bạn đã trúng vé du lịch Châu Âu trị giá 50 triệu. Liên hệ: tour-winner-fake.com
ham,Em ơi, anh sẽ đến đón em lúc 5h chiều nhé!
spam,Thông báo từ ngân hàng: Thẻ của bạn đã bị khóa. Mở khóa tại: card-unlock-fake.com
ham,Chị ơi, em có thể gửi lại file hợp đồng được không? Em cần gấp.
spam,HOT! Cơ hội đầu tư tiền ảo sinh lời 200%/tháng. Chi tiết: crypto-invest-fake.com
ham,Nhớ mang theo hồ sơ khi đi phỏng vấn nhé!
spam,Bạn đã trúng thưởng 30 triệu đồng! Gọi ngay 1900xxxx để nhận giải.
ham,Chiều nay có họp phụ huynh lúc 5h. Bạn nhớ sắp xếp thời gian nhé!
spam,Cảnh báo: Tài khoản mobile banking của bạn có nguy cơ bị khóa. Xác minh: mbank-secure-fake.com
ham,Anh ơi, em đã đặt vé xem phim lúc 8h tối nay rồi nhé!
spam,Thông báo: SIM của bạn sẽ bị khóa 2 chiều trong 12h nữa. Liên hệ 19001235 để được hỗ trợ.
ham,Mẹ ơi, con sẽ về nhà vào cuối tuần này!
spam,HOT! Giảm giá sốc 80% tất cả sản phẩm. Mua ngay: sale-hot-fake.com
ham,Bạn có thể giúp mình giải bài tập này được không?
spam,Chúc mừng! Số điện thoại của bạn đã trúng 10 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx 100tr/tháng, làm online 2h/ngày. Ứng tuyển: highincome-fake.com
ham,Nhớ đem theo đồ ăn khi đi dã ngoại vào Chủ nhật nhé!
spam,Bạn còn nợ tiền cước 2.000.000đ. Thanh toán ngay kẻo bị khóa SIM.
ham,Anh/chị có thể duyệt báo cáo giúp em hôm nay được không?
spam,NÓNG! Cơ hội mua đất nền giá gốc chỉ từ 200 triệu. Liên hệ: 090xxxxxxx
ham,Chúc mừng sinh nhật! Tối nay cả nhóm sẽ đến nhà bạn lúc 7h nhé.
spam,Tài khoản Internet Banking của bạn sắp hết hạn xác thực. Gia hạn tại: ebank-verify-fake.com
ham,Nhớ mang theo áo khoác, hôm nay trời lạnh đó!
spam,Chúc mừng! Bạn được tặng 1 năm sử dụng dịch vụ miễn phí. Kích hoạt: service-free-fake.com
ham,Em ơi, anh đang ở ngoài cổng. Ra đây anh đón.
spam,Cảnh báo: Thẻ tín dụng của bạn đã bị khóa do nghi ngờ giao dịch bất thường. Mở khóa: card-secure-fake.com
ham,Tài liệu họp đã được gửi qua email. Mọi người kiểm tra nhé!
spam,HOT! Nhận ngay 5 triệu khi mở tài khoản ngân hàng mới. Liên hệ: bank-bonus-fake.com
ham,Chị ơi, em đã đặt đồ ăn rồi. 30 phút nữa sẽ đến.
spam,Thông báo: Bạn còn nợ tiền điện 1.500.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,Bố mẹ sẽ đến thăm vào cuối tuần này. Nhớ dọn nhà nhé!
spam,Cơ hội đầu tư sinh lời 50%/tháng, cam kết hoàn tiền. Liên hệ: investment-fake.com
ham,Đến giờ uống thuốc rồi đó! Nhớ uống đầy đủ nhé.
spam,Tài khoản Facebook của bạn đang gặp vấn đề bảo mật. Xác minh tại: fb-verify-fake.com
ham,Họp lớp vào thứ 7 tuần sau, bạn có tham gia không?
spam,Chương trình khuyến mãi 50% tất cả sản phẩm. Mua ngay: sale-fake.com
ham,Nhớ gửi tiền học cho con trước ngày mai nhé!
spam,Cảnh báo khẩn cấp: SIM của bạn sẽ bị khóa trong 60 phút nữa. Gọi 19001234 để được hỗ trợ.
ham,Anh ơi, tối nay có mấy người bạn đến chơi. Anh nhớ về sớm nhé!
spam,Cơ hội trúng xe Honda khi nạp thẻ trên 100k. Chi tiết: simcard-bonus-fake.com
ham,Sáng mai nhớ mang theo hồ sơ họp nhé!
spam,Chúc mừng! Số điện thoại của bạn đã trúng 50 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx
ham,Mẹ ơi, con đã đến trường an toàn rồi ạ!
spam,Thông báo: Bạn có một gói quà chưa nhận. Xác nhận tại: gift-collect-fake.com
ham,Chiều nay em phải đi công tác. Anh đón con giúp em nhé!
spam,HOT! Cơ hội đầu tư BĐS sinh lời 300%. Chỉ còn 3 lô cuối. LH: 0901234567
ham,Chị ơi, em đã chuyển khoản tiền mua hàng rồi. Chị gửi hàng giúp em nhé!
spam,Tài khoản Momo của bạn sắp bị khóa. Xác minh ngay: momo-verify-fake.com
ham,Nhớ mang theo bút và giấy khi đi họp nhé!
spam,Bạn vừa trúng thưởng 10 triệu đồng! Gọi ngay 1900xxxx để nhận giải.
ham,Anh/chị ơi, em có thể nộp báo cáo vào ngày mai được không?
spam,Cơ hội cuối! Mua 1 tặng 1 tất cả sản phẩm. Chỉ còn hôm nay: shop-lastday-fake.com
ham,Nhớ trả sách thư viện vào thứ 6 này nhé!
spam,Thông báo: Tài khoản ngân hàng của bạn có giao dịch bất thường. Kiểm tra: bank-check-fake.com
ham,Em đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Anh đến đúng giờ nhé!
spam,KHẨN: Tài khoản di động của bạn sắp hết hạn. Gia hạn tại: mobile-renew-fake.com
ham,Tối nay mình phải làm việc muộn. Đừng đợi cơm mình nhé!
spam,Chúc mừng! Bạn đã được chọn nhận iPhone 15 miễn phí. Đăng ký: iphone-free-fake.com
ham,Anh ơi, quên mất em có hẹn với bác sĩ chiều nay. Anh đón con giúp em nhé!
spam,Cảnh báo: Hóa đơn điện nước chưa thanh toán. Nguy cơ cắt dịch vụ trong 48h: utility-pay-fake.com
ham,Nhớ mang theo ô khi ra ngoài, trời đang mưa to lắm!
spam,HOT! Cơ hội việc làm thu nhập 50-100tr/tháng. Ứng tuyển: job-high-fake.com
ham,Mai học môn gì vậy? Cho mình mượn tài liệu với.
spam,Bạn đã trúng thưởng 20 triệu từ chương trình khuyến mãi. LH: 090xxxxxxx để nhận giải.
ham,Chúc mừng sinh nhật! Tối nay đi ăn ở đâu?
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị đóng. Xác minh tại: bank-verify-fake.com
ham,Nhớ đóng cửa sổ trước khi ra ngoài nhé, trời sắp mưa rồi!
spam,Thông báo từ Viettel: SIM của bạn sẽ bị khóa nếu không cập nhật thông tin. Chi tiết: sim-update-fake.com
ham,Mình đã gửi email cho bạn rồi đó. Kiểm tra giúp mình nhé!
spam,Cơ hội cuối cùng: Mua đất nền giá gốc chỉ từ 300tr/nền. LH: 0987654321
ham,Bạn đã làm bài tập về nhà chưa? Mai nộp rồi đó!
spam,HOT! Giảm giá sốc 70% tất cả sản phẩm. Chỉ 3 ngày: mega-discount-fake.com
ham,Chị ơi, em đã chuyển tiền thanh toán hóa đơn rồi ạ!
spam,Thông báo: Tài khoản Facebook của bạn đang gặp vấn đề. Xác thực tại: fb-secure-fake.com
ham,Tài liệu họp đã được gửi qua email. Anh/chị kiểm tra nhé!
spam,Bạn đã trúng thưởng 50 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx để nhận giải.
ham,Mai có bài kiểm tra đó! Bạn chuẩn bị đầy đủ chưa?
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch bất thường. Kiểm tra: bank-alert-fake.com
ham,Tối nay mình có hẹn với bác sĩ. Bạn đón con giúp mình nhé!
spam,Chương trình tặng xe máy Honda Vision cho 10 khách hàng may mắn. Chi tiết: moto-gift-fake.com
ham,Chị ơi, em gửi file báo cáo rồi. Chị kiểm tra giúp em nhé!
spam,HOT! Cơ hội đầu tư sinh lời 100%/năm. LH: 0901234567 để được tư vấn.
ham,Bố mẹ khỏe không? Con đã đến nơi an toàn rồi ạ!
spam,Thông báo: SIM của bạn sẽ bị khóa trong 24h nếu không cập nhật thông tin. Chi tiết: sim-lock-fake.com
ham,Anh ơi, tối nay em về muộn. Anh nhớ cho con ăn tối nhé!
spam,Chúc mừng! Bạn đã trúng 100 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,Bạn có thể gửi lại link họp Zoom được không? Mình không tìm thấy.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị khóa. Xác minh tại: bank-secure-fake.com
ham,Chị ơi, mai em có thể nộp báo cáo trễ một ngày được không?
spam,HOT! Cơ hội mua nhà giá rẻ chỉ 500tr/căn. LH: 0987654321
ham,Mình đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Bạn nhớ đến đúng giờ nhé!
spam,Thông báo: Bạn còn nợ tiền điện 2.000.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,Anh ơi, em quên mang theo chìa khóa. Em sẽ đợi anh ở công ty.
spam,Cơ hội việc làm thu nhập 40-80tr/tháng. Ứng tuyển: job-fake.com
ham,Chị ơi, em đã hoàn thành công việc rồi. Chị kiểm tra giúp em nhé!
spam,KHẨN CẤP: Tài khoản Zalo của bạn đang gặp vấn đề bảo mật. Xác minh: zalo-secure-fake.com
ham,Tối nay có buổi liên hoan công ty lúc 6h. Bạn tham gia nhé!
spam,Chúc mừng! Bạn đã trúng vé du lịch Châu Âu trị giá 50 triệu. Liên hệ: tour-winner-fake.com
ham,Em ơi, anh sẽ đến đón em lúc 5h chiều nhé!
spam,Thông báo từ ngân hàng: Thẻ của bạn đã bị khóa. Mở khóa tại: card-unlock-fake.com
ham,Chị ơi, em có thể gửi lại file hợp đồng được không? Em cần gấp.
spam,HOT! Cơ hội đầu tư tiền ảo sinh lời 200%/tháng. Chi tiết: crypto-invest-fake.com
ham,Nhớ mang theo hồ sơ khi đi phỏng vấn nhé!
spam,Bạn đã trúng thưởng 30 triệu đồng! Gọi ngay 1900xxxx để nhận giải.
ham,Chiều nay có họp phụ huynh lúc 5h. Bạn nhớ sắp xếp thời gian nhé!
spam,Cảnh báo: Tài khoản mobile banking của bạn có nguy cơ bị khóa. Xác minh: mbank-secure-fake.com
ham,Anh ơi, em đã đặt vé xem phim lúc 8h tối nay rồi nhé!
spam,Thông báo: SIM của bạn sẽ bị khóa 2 chiều trong 12h nữa. Liên hệ 19001235 để được hỗ trợ.
ham,Mẹ ơi, con sẽ về nhà vào cuối tuần này!
spam,HOT! Giảm giá sốc 80% tất cả sản phẩm. Mua ngay: sale-hot-fake.com
ham,Bạn có thể giúp mình giải bài tập này được không?
spam,Chúc mừng! Số điện thoại của bạn đã trúng 10 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx
ham,Tối nay ăn gì vậy? Mình ghé siêu thị mua đồ nhé!
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch lạ. Kiểm tra: bank-check-fake.com
ham,Anh/chị ơi, em có thể nộp báo cáo vào ngày mai được không?
spam,Cơ hội đầu tư BĐS sinh lời 200%. Chỉ còn 5 lô cuối. LH: 0901234567
ham,Chúc mừng sinh nhật! Tối nay cả nhóm sẽ đến nhà bạn lúc 7h nhé.
spam,KHẨN: Tài khoản di động của bạn sắp bị khóa. Xác minh ngay: mobile-verify-fake.com
ham,Nhớ mang theo ô khi ra ngoài, trời đang mưa to lắm!
spam,Bạn đã trúng thưởng 20 triệu từ chương trình khuyến mãi. LH: 090xxxxxxx để nhận giải.
ham,Mai học môn gì vậy? Cho mình mượn tài liệu với.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị đóng. Xác minh tại: bank-verify-fake.com
ham,Chị ơi, em đã hoàn thành công việc rồi. Chị kiểm tra giúp em nhé!
spam,HOT! Cơ hội việc làm thu nhập 50-100tr/tháng. Ứng tuyển: job-high-fake.com
ham,Tối nay mình có hẹn với bác sĩ. Bạn đón con giúp mình nhé!
spam,Chúc mừng! Bạn đã trúng 100 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,Bạn có thể gửi lại link họp Zoom được không? Mình không tìm thấy.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị khóa. Xác minh tại: bank-secure-fake.com
ham,Mình đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Bạn nhớ đến đúng giờ nhé!
spam,Thông báo: Bạn còn nợ tiền điện 2.000.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,Chị ơi, em quên mang theo chìa khóa. Em sẽ đợi chị ở công ty.
spam,Cơ hội việc làm thu nhập